PID#,CHECK,NO#,STREET,ACCT#,TOTAL ASSESS,diff in value,Diff in assessment,TAXES,LAST YR,LAST YR TAXES,DIFF,%CHANGE,TAXES,AddressOne,AddressTwo
###,U33074005000,11,ABACO DRIVE,Z0038R,"1,104,900.00",1.58%,"677,400.00","$11,879.00","427,500.00","$9,550.00","$2,329.00",24%,UP,"11 Abaco Drive Cape Elizabeth, ME 04107","'11 Abaco Drive Cape Elizabeth, ME 04107',"
###,U27022000000,2,ABBEY LANE,R1314R,"926,900.00",1.39%,"539,200.00","$10,196.00","387,700.00","$8,661.00","$1,535.00",18%,UP,"2 Abbey Lane Cape Elizabeth, ME 04107","'2 Abbey Lane Cape Elizabeth, ME 04107',"
614,U25017E 000,6,ALBION ROAD,C0962R,"882,200.00",0.85%,"405,400.00","$9,704.00","476,800.00","$10,652.00",-$948.00,-9%,DOWN,"6 Albion Road Cape Elizabeth, ME 04107","'6 Albion Road Cape Elizabeth, ME 04107',"
26,U25017C 000,3,ALBION ROAD,M0724R,"706,900.00",0.94%,"342,300.00","$7,402.00","364,600.00","$8,145.00",-$743.00,-9%,DOWN,"3 Albion Road Cape Elizabeth, ME 04107","'3 Albion Road Cape Elizabeth, ME 04107',"
###,U25017A 000,2,ALBION ROAD,M2063R,"662,400.00",1.07%,"342,000.00","$7,011.00","320,400.00","$7,158.00",-$146.00,-2%,ABOUT SAME,"2 Albion Road Cape Elizabeth, ME 04107","'2 Albion Road Cape Elizabeth, ME 04107',"
###,U25017D 000,7,ALBION ROAD,B1561R,"776,700.00",1.08%,"403,000.00","$8,269.00","373,700.00","$8,348.00",-$80.00,-1%,ABOUT SAME,"7 Albion Road Cape Elizabeth, ME 04107","'7 Albion Road Cape Elizabeth, ME 04107',"
###,R03003A08000,35,ALEWIFE COVE,M1581R,"583,700.00",1.07%,"302,000.00","$6,421.00","281,700.00","$6,293.00",$128.00,2%,ABOUT SAME,"35 Alewife Cove Cape Elizabeth, ME 04107","'35 Alewife Cove Cape Elizabeth, ME 04107',"
###,R03003A02000,43,ALEWIFE COVE,D1560R,"2,099,600.00",1.20%,"1,145,000.00","$23,096.00","954,600.00","$21,326.00","$1,770.00",8%,UP,"43 Alewife Cove Cape Elizabeth, ME 04107","'43 Alewife Cove Cape Elizabeth, ME 04107',"
726,R03003A09000,36,ALEWIFE COVE,M2946R,"24,300.00",1.25%,"13,500.00",$267.00,"10,800.00",$241.00,$26.00,11%,ABOUT SAME,"36 Alewife Cove Cape Elizabeth, ME 04107","'36 Alewife Cove Cape Elizabeth, ME 04107',"
###,R03003A07000,37,ALEWIFE COVE,I0020R,"822,700.00",1.26%,"458,700.00","$9,050.00","364,000.00","$8,132.00",$918.00,11%,UP,"37 Alewife Cove Cape Elizabeth, ME 04107","'37 Alewife Cove Cape Elizabeth, ME 04107',"
###,R03003A03000,38,ALEWIFE COVE,P0514R,"2,640,000.00",1.43%,"1,555,700.00","$28,765.00","1,084,300.00","$24,223.00","$4,542.00",19%,UP,"38 Alewife Cove Cape Elizabeth, ME 04107","'38 Alewife Cove Cape Elizabeth, ME 04107',"
832,R03003A05000,41,ALEWIFE COVE,M2820R,"923,500.00",1.52%,"557,600.00","$10,159.00","365,900.00","$8,174.00","$1,984.00",24%,UP,"41 Alewife Cove Cape Elizabeth, ME 04107","'41 Alewife Cove Cape Elizabeth, ME 04107',"
###,U42005000000,0,ALEWIFE COVE,F1187R,"385,700.00",1.75%,"245,300.00","$4,243.00","140,400.00","$3,137.00","$1,106.00",35%,UP,"0 Alewife Cove Cape Elizabeth, ME 04107","'0 Alewife Cove Cape Elizabeth, ME 04107',"
###,R03003A04000,40,ALEWIFE COVE,K0895R,"1,267,500.00",1.97%,"840,700.00","$13,668.00","426,800.00","$9,535.00","$4,133.00",43%,UP,"40 Alewife Cove Cape Elizabeth, ME 04107","'40 Alewife Cove Cape Elizabeth, ME 04107',"
528,R03003A01000,45,ALEWIFE COVE,M2831R,"1,383,300.00",2.34%,"968,900.00","$15,216.00","414,400.00","$9,258.00","$5,959.00",64%,UP,"45 Alewife Cove Cape Elizabeth, ME 04107","'45 Alewife Cove Cape Elizabeth, ME 04107',"
###,R04044003000,10,ALEXANDER DRIVE,H1280R,"764,300.00",0.63%,"296,500.00","$8,132.00","467,800.00","$10,451.00","-$2,318.00",-22%,DOWN,"10 Alexander Drive Cape Elizabeth, ME 04107","'10 Alexander Drive Cape Elizabeth, ME 04107',"
###,R04044001000,6,ALEXANDER DRIVE,H1752R,"727,600.00",1.14%,"387,900.00","$7,729.00","339,700.00","$7,589.00",$140.00,2%,ABOUT SAME,"6 Alexander Drive Cape Elizabeth, ME 04107","'6 Alexander Drive Cape Elizabeth, ME 04107',"
###,R04044002000,8,ALEXANDER DRIVE,T1549R,"911,000.00",1.24%,"504,400.00","$9,746.00","406,600.00","$9,083.00",$663.00,7%,UP,"8 Alexander Drive Cape Elizabeth, ME 04107","'8 Alexander Drive Cape Elizabeth, ME 04107',"
598,U12057000000,27,ALGONQUIN ROAD,M2069R,"102,700.00",-0.48%,"-96,400.00","$1,130.00","199,100.00","$4,448.00","-$3,318.00",-75%,DOWN,"27 Algonquin Road Cape Elizabeth, ME 04107","'27 Algonquin Road Cape Elizabeth, ME 04107',"
###,U12054B 000,26,ALGONQUIN ROAD,S2710R,"763,300.00",0.63%,"294,800.00","$8,396.00","468,500.00","$10,466.00","-$2,070.00",-20%,DOWN,"26 Algonquin Road Cape Elizabeth, ME 04107","'26 Algonquin Road Cape Elizabeth, ME 04107',"
###,U12116000000,2,ALGONQUIN ROAD,J0560R,"990,200.00",0.91%,"471,200.00","$10,551.00","519,000.00","$11,594.00","-$1,043.00",-9%,DOWN,"2 Algonquin Road Cape Elizabeth, ME 04107","'2 Algonquin Road Cape Elizabeth, ME 04107',"
###,U12090000000,10,ALGONQUIN ROAD,W1818R,"839,800.00",0.96%,"411,600.00","$9,238.00","428,200.00","$9,566.00",-$328.00,-3%,ABOUT SAME,"10 Algonquin Road Cape Elizabeth, ME 04107","'10 Algonquin Road Cape Elizabeth, ME 04107',"
527,U12084A 000,8,ALGONQUIN ROAD,B0585R,"722,800.00",1.16%,"388,300.00","$7,676.00","334,500.00","$7,473.00",$203.00,3%,ABOUT SAME,"8 Algonquin Road Cape Elizabeth, ME 04107","'8 Algonquin Road Cape Elizabeth, ME 04107',"
###,U12119000000,1,ALGONQUIN ROAD,H0320R,"817,500.00",1.22%,"449,100.00","$8,718.00","368,400.00","$8,230.00",$487.00,6%,ABOUT SAME,"1 Algonquin Road Cape Elizabeth, ME 04107","'1 Algonquin Road Cape Elizabeth, ME 04107',"
377,U12058000000,25,ALGONQUIN ROAD,D1871R,"3,214,900.00",1.22%,"1,764,900.00","$35,364.00","1,450,000.00","$32,393.00","$2,971.00",9%,UP,"25 Algonquin Road Cape Elizabeth, ME 04107","'25 Algonquin Road Cape Elizabeth, ME 04107',"
###,U12091000000,12,ALGONQUIN ROAD,B2561R,"843,800.00",1.31%,"479,200.00","$9,007.00","364,600.00","$8,145.00",$862.00,11%,UP,"12 Algonquin Road Cape Elizabeth, ME 04107","'12 Algonquin Road Cape Elizabeth, ME 04107',"
###,U12088000000,5,ALGONQUIN ROAD,A0818R,"982,200.00",1.40%,"572,300.00","$10,529.00","409,900.00","$9,157.00","$1,372.00",15%,UP,"5 Algonquin Road Cape Elizabeth, ME 04107","'5 Algonquin Road Cape Elizabeth, ME 04107',"
986,U12106000000,11,ALGONQUIN ROAD,G0811R,"763,200.00",1.45%,"451,100.00","$8,395.00","312,100.00","$6,972.00","$1,423.00",20%,UP,"11 Algonquin Road Cape Elizabeth, ME 04107","'11 Algonquin Road Cape Elizabeth, ME 04107',"
###,U12087C 000,16,ALGONQUIN ROAD,G0480R,"834,900.00",1.53%,"504,300.00","$8,909.00","330,600.00","$7,386.00","$1,523.00",21%,UP,"16 Algonquin Road Cape Elizabeth, ME 04107","'16 Algonquin Road Cape Elizabeth, ME 04107',"
###,U12117000000,4,ALGONQUIN ROAD,S1538R,"891,600.00",1.53%,"539,500.00","$9,533.00","352,100.00","$7,866.00","$1,667.00",21%,UP,"4 Algonquin Road Cape Elizabeth, ME 04107","'4 Algonquin Road Cape Elizabeth, ME 04107',"
###,U12107000000,13,ALGONQUIN ROAD,K0910R,"880,500.00",1.46%,"522,900.00","$9,686.00","357,600.00","$7,989.00","$1,697.00",21%,UP,"13 Algonquin Road Cape Elizabeth, ME 04107","'13 Algonquin Road Cape Elizabeth, ME 04107',"
145,U12056000000,28,ALGONQUIN ROAD,C0540R,"2,551,600.00",1.49%,"1,526,400.00","$27,793.00","1,025,200.00","$22,903.00","$4,890.00",21%,UP,"28 Algonquin Road Cape Elizabeth, ME 04107","'28 Algonquin Road Cape Elizabeth, ME 04107',"
###,U12087D 000,18,ALGONQUIN ROAD,N0200R,"856,800.00",1.60%,"527,000.00","$9,150.00","329,800.00","$7,368.00","$1,782.00",24%,UP,"18 Algonquin Road Cape Elizabeth, ME 04107","'18 Algonquin Road Cape Elizabeth, ME 04107',"
###,U12104000000,7,ALGONQUIN ROAD,E0290R,"853,400.00",1.55%,"518,300.00","$9,387.00","335,100.00","$7,486.00","$1,901.00",25%,UP,"7 Algonquin Road Cape Elizabeth, ME 04107","'7 Algonquin Road Cape Elizabeth, ME 04107',"
###,U12118000000,6,ALGONQUIN ROAD,M0279R,"847,800.00",1.74%,"538,100.00","$9,051.00","309,700.00","$6,919.00","$2,132.00",31%,UP,"6 Algonquin Road Cape Elizabeth, ME 04107","'6 Algonquin Road Cape Elizabeth, ME 04107',"
###,U12105000000,9,ALGONQUIN ROAD,A0575R,"742,300.00",1.91%,"487,400.00","$7,890.00","254,900.00","$5,694.00","$2,196.00",39%,UP,"9 Algonquin Road Cape Elizabeth, ME 04107","'9 Algonquin Road Cape Elizabeth, ME 04107',"
###,U41008000000,6,ANGELL POINT ROAD,C1500R,"1,133,500.00",0.24%,"215,700.00","$12,194.00","917,800.00","$20,504.00","-$8,310.00",-41%,DOWN,"6 Angell Point Road Cape Elizabeth, ME 04107","'6 Angell Point Road Cape Elizabeth, ME 04107',"
###,U41004000000,15,ANGELL POINT ROAD,M2256R,"1,509,100.00",0.42%,"444,400.00","$16,600.00","1,064,700.00","$23,785.00","-$7,185.00",-30%,DOWN,"15 Angell Point Road Cape Elizabeth, ME 04107","'15 Angell Point Road Cape Elizabeth, ME 04107',"
###,U41003000000,21,ANGELL POINT ROAD,C0280R,"1,864,900.00",0.50%,"625,700.00","$20,514.00","1,239,200.00","$27,684.00","-$7,170.00",-26%,DOWN,"21 Angell Point Road Cape Elizabeth, ME 04107","'21 Angell Point Road Cape Elizabeth, ME 04107',"
###,U41001A 000,18,ANGELL POINT ROAD,B1256R,"1,705,300.00",0.51%,"572,800.00","$18,758.00","1,132,500.00","$25,300.00","-$6,542.00",-26%,DOWN,"18 Angell Point Road Cape Elizabeth, ME 04107","'18 Angell Point Road Cape Elizabeth, ME 04107',"
212,U41004A 000,11,ANGELL POINT ROAD,T0552R,"1,202,800.00",0.61%,"454,400.00","$13,231.00","748,400.00","$16,719.00","-$3,488.00",-21%,DOWN,"11 Angell Point Road Cape Elizabeth, ME 04107","'11 Angell Point Road Cape Elizabeth, ME 04107',"
866,U41009A 000,14,ANGELL POINT ROAD,C1268R,"829,900.00",0.74%,"353,000.00","$8,854.00","476,900.00","$10,654.00","-$1,800.00",-17%,DOWN,"14 Angell Point Road Cape Elizabeth, ME 04107","'14 Angell Point Road Cape Elizabeth, ME 04107',"
###,U41009B 000,10,ANGELL POINT ROAD,T0107R,"865,500.00",0.76%,"373,000.00","$9,246.00","492,500.00","$11,002.00","-$1,757.00",-16%,DOWN,"10 Angell Point Road Cape Elizabeth, ME 04107","'10 Angell Point Road Cape Elizabeth, ME 04107',"
523,U41001000000,22,ANGELL POINT ROAD,S0295R,"1,964,800.00",0.72%,"821,900.00","$21,613.00","1,142,900.00","$25,532.00","-$3,920.00",-15%,DOWN,"22 Angell Point Road Cape Elizabeth, ME 04107","'22 Angell Point Road Cape Elizabeth, ME 04107',"
###,U41002000000,23,ANGELL POINT ROAD,C0286R,"2,649,100.00",0.91%,"1,265,100.00","$29,140.00","1,384,000.00","$30,919.00","-$1,778.00",-6%,DOWN,"23 Angell Point Road Cape Elizabeth, ME 04107","'23 Angell Point Road Cape Elizabeth, ME 04107',"
###,U41009C 000,12,ANGELL POINT ROAD,M0290R,"888,200.00",0.95%,"431,800.00","$9,770.00","456,400.00","$10,196.00",-$426.00,-4%,ABOUT SAME,"12 Angell Point Road Cape Elizabeth, ME 04107","'12 Angell Point Road Cape Elizabeth, ME 04107',"
###,U32005A 000,2,ANN ARBOR DRIVE,N0192R,"1,115,600.00",0.52%,"383,500.00","$12,272.00","732,100.00","$16,355.00","-$4,084.00",-25%,DOWN,"2 Ann Arbor Drive Cape Elizabeth, ME 04107","'2 Ann Arbor Drive Cape Elizabeth, ME 04107',"
###,U32005002000,4,ANN ARBOR DRIVE,C2656R,"915,800.00",0.86%,"423,300.00","$10,074.00","492,500.00","$11,002.00",-$929.00,-8%,DOWN,"4 Ann Arbor Drive Cape Elizabeth, ME 04107","'4 Ann Arbor Drive Cape Elizabeth, ME 04107',"
###,U58027000000,5,APPLE TREE LANE,D0173R,"268,500.00",0.55%,"94,900.00","$2,679.00","173,600.00","$3,878.00","-$1,200.00",-31%,DOWN,"5 Apple Tree Lane Cape Elizabeth, ME 04107","'5 Apple Tree Lane Cape Elizabeth, ME 04107',"
###,U58026000000,7,APPLE TREE LANE,D0172R,"268,500.00",0.85%,"123,500.00","$2,569.00","145,000.00","$3,239.00",-$671.00,-21%,DOWN,"7 Apple Tree Lane Cape Elizabeth, ME 04107","'7 Apple Tree Lane Cape Elizabeth, ME 04107',"
###,U58030000000,4,APPLE TREE LANE,M2726R,"1,101,200.00",0.87%,"513,800.00","$11,838.00","587,400.00","$13,123.00","-$1,284.00",-10%,DOWN,"4 Apple Tree Lane Cape Elizabeth, ME 04107","'4 Apple Tree Lane Cape Elizabeth, ME 04107',"
192,U58032000000,8,APPLE TREE LANE,P0469R,"1,064,000.00",1.08%,"553,200.00","$11,429.00","510,800.00","$11,411.00",$18.00,0%,ABOUT SAME,"8 Apple Tree Lane Cape Elizabeth, ME 04107","'8 Apple Tree Lane Cape Elizabeth, ME 04107',"
###,U58028000000,3,APPLE TREE LANE,Z0043R,"1,570,700.00",1.09%,"820,200.00","$17,003.00","750,500.00","$16,766.00",$237.00,1%,ABOUT SAME,"3 Apple Tree Lane Cape Elizabeth, ME 04107","'3 Apple Tree Lane Cape Elizabeth, ME 04107',"
651,U58025000000,9,APPLE TREE LANE,N0007R,"887,200.00",1.13%,"470,600.00","$9,759.00","416,600.00","$9,307.00",$452.00,5%,ABOUT SAME,"9 Apple Tree Lane Cape Elizabeth, ME 04107","'9 Apple Tree Lane Cape Elizabeth, ME 04107',"
###,U58023000000,13,APPLE TREE LANE,D0146R,"1,014,300.00",1.20%,"553,600.00","$10,822.00","460,700.00","$10,292.00",$530.00,5%,UP,"13 Apple Tree Lane Cape Elizabeth, ME 04107","'13 Apple Tree Lane Cape Elizabeth, ME 04107',"
###,U58024000000,11,APPLE TREE LANE,L0180R,"967,500.00",1.46%,"573,600.00","$10,293.00","393,900.00","$8,800.00","$1,493.00",17%,UP,"11 Apple Tree Lane Cape Elizabeth, ME 04107","'11 Apple Tree Lane Cape Elizabeth, ME 04107',"
###,U58031000000,10,APPLE TREE LANE,C0546R,"1,043,000.00",1.53%,"631,300.00","$11,165.00","411,700.00","$9,197.00","$1,968.00",21%,UP,"10 Apple Tree Lane Cape Elizabeth, ME 04107","'10 Apple Tree Lane Cape Elizabeth, ME 04107',"
327,U58022000000,15,APPLE TREE LANE,A0036R,"699,600.00",2.00%,"466,300.00","$7,696.00","233,300.00","$5,212.00","$2,484.00",48%,UP,"15 Apple Tree Lane Cape Elizabeth, ME 04107","'15 Apple Tree Lane Cape Elizabeth, ME 04107',"
771,U58029000000,6,APPLE TREE LANE,S1460R,"495,900.00",3.48%,"385,300.00","$5,455.00","110,600.00","$2,471.00","$2,984.00",121%,UP,"6 Apple Tree Lane Cape Elizabeth, ME 04107","'6 Apple Tree Lane Cape Elizabeth, ME 04107',"
###,R03024C 000,14,ARBOR LANE,C1490R,"911,200.00",0.76%,"394,500.00","$10,023.00","516,700.00","$11,543.00","-$1,520.00",-13%,DOWN,"14 Arbor Lane Cape Elizabeth, ME 04107","'14 Arbor Lane Cape Elizabeth, ME 04107',"
###,R03024D 000,12,ARBOR LANE,C2594R,"1,450,400.00",1.53%,"878,200.00","$15,679.00","572,200.00","$12,783.00","$2,896.00",23%,UP,"12 Arbor Lane Cape Elizabeth, ME 04107","'12 Arbor Lane Cape Elizabeth, ME 04107',"
###,U23001003000,4,ARLINGTON LANE,T0474R,"1,094,000.00",0.54%,"383,700.00","$11,759.00","710,300.00","$15,868.00","-$4,109.00",-26%,DOWN,"4 Arlington Lane Cape Elizabeth, ME 04107","'4 Arlington Lane Cape Elizabeth, ME 04107',"
590,U23001001000,1,ARLINGTON LANE,K0053R,"782,400.00",0.55%,"276,900.00","$8,606.00","505,500.00","$11,293.00","-$2,686.00",-24%,DOWN,"1 Arlington Lane Cape Elizabeth, ME 04107","'1 Arlington Lane Cape Elizabeth, ME 04107',"
631,U23001000000,3,ARLINGTON LANE,P1318R,"1,370,300.00",1.08%,"711,500.00","$14,798.00","658,800.00","$14,718.00",$81.00,1%,ABOUT SAME,"3 Arlington Lane Cape Elizabeth, ME 04107","'3 Arlington Lane Cape Elizabeth, ME 04107',"
286,U04133000000,12,ARROW POINT ROAD,J0470R,"1,311,500.00",1.21%,"716,900.00","$14,152.00","594,600.00","$13,283.00",$868.00,7%,UP,"12 Arrow Point Road Cape Elizabeth, ME 04107","'12 Arrow Point Road Cape Elizabeth, ME 04107',"
###,U04131000000,15,ARROW POINT ROAD,G0065R,"799,100.00",1.47%,"475,600.00","$8,515.00","323,500.00","$7,227.00","$1,288.00",18%,UP,"15 Arrow Point Road Cape Elizabeth, ME 04107","'15 Arrow Point Road Cape Elizabeth, ME 04107',"
###,U04132000000,14,ARROW POINT ROAD,Y0002R,"913,700.00",1.51%,"550,300.00","$9,776.00","363,400.00","$8,118.00","$1,657.00",20%,UP,"14 Arrow Point Road Cape Elizabeth, ME 04107","'14 Arrow Point Road Cape Elizabeth, ME 04107',"
###,U04116000000,16,ARROW POINT ROAD,P1475R,"763,000.00",1.71%,"481,900.00","$8,118.00","281,100.00","$6,280.00","$1,838.00",29%,UP,"16 Arrow Point Road Cape Elizabeth, ME 04107","'16 Arrow Point Road Cape Elizabeth, ME 04107',"
###,U04135000000,6,ARROW POINT ROAD,M2051R,"1,338,500.00",1.83%,"864,900.00","$14,366.00","473,600.00","$10,580.00","$3,786.00",36%,UP,"6 Arrow Point Road Cape Elizabeth, ME 04107","'6 Arrow Point Road Cape Elizabeth, ME 04107',"
###,U04134000000,8,ARROW POINT ROAD,J0530R,"988,900.00",1.83%,"639,900.00","$10,878.00","349,000.00","$7,797.00","$3,081.00",40%,UP,"8 Arrow Point Road Cape Elizabeth, ME 04107","'8 Arrow Point Road Cape Elizabeth, ME 04107',"
682,U04141000000,5,ARROW POINT ROAD,S1884R,"759,700.00",2.10%,"514,400.00","$8,082.00","245,300.00","$5,480.00","$2,602.00",47%,UP,"5 Arrow Point Road Cape Elizabeth, ME 04107","'5 Arrow Point Road Cape Elizabeth, ME 04107',"
###,U04142000000,7,ARROW POINT ROAD,C2147R,"759,400.00",2.79%,"558,800.00","$8,353.00","200,600.00","$4,481.00","$3,872.00",86%,UP,"7 Arrow Point Road Cape Elizabeth, ME 04107","'7 Arrow Point Road Cape Elizabeth, ME 04107',"
###,U2906400B000,51,ASTER LANE,M1804R,"504,300.00",-0.13%,"-72,900.00","$5,547.00","577,200.00","$12,895.00","-$7,347.00",-57%,DOWN,"51 Aster Lane Cape Elizabeth, ME 04107","'51 Aster Lane Cape Elizabeth, ME 04107',"
###,U2906400A000,53,ASTER LANE,M1803R,"504,300.00",-0.13%,"-72,900.00","$5,547.00","577,200.00","$12,895.00","-$7,347.00",-57%,DOWN,"53 Aster Lane Cape Elizabeth, ME 04107","'53 Aster Lane Cape Elizabeth, ME 04107',"
###,U49033022000,25,ASTER LANE,S8015R,"268,500.00",0.30%,"61,800.00","$2,954.00","206,700.00","$4,618.00","-$1,664.00",-36%,DOWN,"25 Aster Lane Cape Elizabeth, ME 04107","'25 Aster Lane Cape Elizabeth, ME 04107',"
###,U29051D 000,7,ASTER LANE,N0082R,"778,900.00",0.80%,"346,000.00","$8,568.00","432,900.00","$9,671.00","-$1,103.00",-11%,DOWN,"7 Aster Lane Cape Elizabeth, ME 04107","'7 Aster Lane Cape Elizabeth, ME 04107',"
###,U49033012000,39,ASTER LANE,S8011R,"877,800.00",0.94%,"426,300.00","$9,381.00","451,500.00","$10,087.00",-$706.00,-7%,DOWN,"39 Aster Lane Cape Elizabeth, ME 04107","'39 Aster Lane Cape Elizabeth, ME 04107',"
###,U49033003000,14,ASTER LANE,B0517R,"762,600.00",0.92%,"366,300.00","$8,389.00","396,300.00","$8,853.00",-$465.00,-5%,ABOUT SAME,"14 Aster Lane Cape Elizabeth, ME 04107","'14 Aster Lane Cape Elizabeth, ME 04107',"
###,U32006047000,40,ASTER LANE,G1600R,"865,600.00",1.02%,"437,600.00","$9,247.00","428,000.00","$9,562.00",-$315.00,-3%,ABOUT SAME,"40 Aster Lane Cape Elizabeth, ME 04107","'40 Aster Lane Cape Elizabeth, ME 04107',"
###,U49033007000,30,ASTER LANE,S8007R,"874,800.00",0.97%,"431,000.00","$9,623.00","443,800.00","$9,914.00",-$292.00,-3%,ABOUT SAME,"30 Aster Lane Cape Elizabeth, ME 04107","'30 Aster Lane Cape Elizabeth, ME 04107',"
###,U49033010000,38,ASTER LANE,S8010R,"896,200.00",1.03%,"455,200.00","$9,583.00","441,000.00","$9,852.00",-$269.00,-3%,ABOUT SAME,"38 Aster Lane Cape Elizabeth, ME 04107","'38 Aster Lane Cape Elizabeth, ME 04107',"
###,U49033004000,16,ASTER LANE,T1474R,"745,400.00",1.04%,"379,700.00","$7,924.00","365,700.00","$8,170.00",-$245.00,-3%,ABOUT SAME,"16 Aster Lane Cape Elizabeth, ME 04107","'16 Aster Lane Cape Elizabeth, ME 04107',"
###,U29064005000,46,ASTER LANE,B2111R,"604,900.00",0.96%,"296,400.00","$6,654.00","308,500.00","$6,892.00",-$238.00,-3%,ABOUT SAME,"46 Aster Lane Cape Elizabeth, ME 04107","'46 Aster Lane Cape Elizabeth, ME 04107',"
###,U49033005000,18,ASTER LANE,S8005R,"804,200.00",0.98%,"397,700.00","$8,846.00","406,500.00","$9,081.00",-$235.00,-3%,ABOUT SAME,"18 Aster Lane Cape Elizabeth, ME 04107","'18 Aster Lane Cape Elizabeth, ME 04107',"
###,U49033009000,34,ASTER LANE,S8009R,"879,700.00",0.99%,"437,700.00","$9,677.00","442,000.00","$9,874.00",-$198.00,-2%,ABOUT SAME,"34 Aster Lane Cape Elizabeth, ME 04107","'34 Aster Lane Cape Elizabeth, ME 04107',"
###,U49033015000,31,ASTER LANE,S8014R,"790,100.00",1.10%,"414,000.00","$8,416.00","376,100.00","$8,402.00",$14.00,0%,ABOUT SAME,"31 Aster Lane Cape Elizabeth, ME 04107","'31 Aster Lane Cape Elizabeth, ME 04107',"
###,U49033014000,33,ASTER LANE,S8013R,"872,200.00",1.04%,"444,500.00","$9,594.00","427,700.00","$9,555.00",$39.00,0%,ABOUT SAME,"33 Aster Lane Cape Elizabeth, ME 04107","'33 Aster Lane Cape Elizabeth, ME 04107',"
###,U49033008000,32,ASTER LANE,S8008R,"891,200.00",1.10%,"467,300.00","$9,528.00","423,900.00","$9,470.00",$58.00,1%,ABOUT SAME,"32 Aster Lane Cape Elizabeth, ME 04107","'32 Aster Lane Cape Elizabeth, ME 04107',"
###,U49033006000,28,ASTER LANE,S8006R,"707,700.00",1.18%,"383,200.00","$7,510.00","324,500.00","$7,249.00",$260.00,4%,ABOUT SAME,"28 Aster Lane Cape Elizabeth, ME 04107","'28 Aster Lane Cape Elizabeth, ME 04107',"
###,U49033001000,10,ASTER LANE,C0434R,"814,400.00",1.12%,"429,400.00","$8,958.00","385,000.00","$8,601.00",$358.00,4%,ABOUT SAME,"10 Aster Lane Cape Elizabeth, ME 04107","'10 Aster Lane Cape Elizabeth, ME 04107',"
###,U49033002000,12,ASTER LANE,P2022R,"720,700.00",1.26%,"401,700.00","$7,653.00","319,000.00","$7,126.00",$526.00,7%,UP,"12 Aster Lane Cape Elizabeth, ME 04107","'12 Aster Lane Cape Elizabeth, ME 04107',"
