Address,Neighborhood,Value 23,Value 24,Tax 23,Tax 24
"1 Spoondrift Lane Cape Elizabeth, ME 04107",U36,351200,1183900,7846,12748
"1 Starboard Drive Cape Elizabeth, ME 04107",U45,146200,315700,3266,3198
"1 Stephenson Street Cape Elizabeth, ME 04107",U29,230400,564200,5147,5931
"1 Stirrup Road Cape Elizabeth, ME 04107",U24,449600,759200,10044,8351
"1 Summit Road Cape Elizabeth, ME 04107",U03,490500,958800,10958,10272
"1 Sunny Bank Road Cape Elizabeth, ME 04107",U41,1225300,1857100,27373,20428
"1 Surf Road Cape Elizabeth, ME 04107",U05,380300,1067900,8496,11472
"1 Tanager Lane Cape Elizabeth, ME 04107",R04,282400,755800,6309,8039
"1 Tanglewood Place Cape Elizabeth, ME 04107",U38,1614000,4271500,36057,46712
"1 Tiger Lily Lane Cape Elizabeth, ME 04107",U59,668000,1351600,14923,14868
"1 Village Lane Cape Elizabeth, ME 04107",U45,370200,675700,8270,7158
"1 Wabun Road Cape Elizabeth, ME 04107",U12,497000,1165800,11103,12549
"1 Wainwright Drive Cape Elizabeth, ME 04107",U52,654900,1371400,14630,14810
"1 Warbler Drive Cape Elizabeth, ME 04107",R04,317200,805000,7086,8580
"1 Waterhouse Road Cape Elizabeth, ME 04107",U29,204900,530300,4577,5558
"1 Wentworth Road Cape Elizabeth, ME 04107",U18,438900,743700,9805,8181
"1 Westfield Road Cape Elizabeth, ME 04107",U42,263000,589500,5875,6485
"1 Wildwood Drive Cape Elizabeth, ME 04107",U24,338300,649700,7558,6872
"1 Wilton Lane Cape Elizabeth, ME 04107",U28,207100,523900,4627,5488
"1 Windward Way Cape Elizabeth, ME 04107",U05,122000,133900,2725,1473
"1 Winslow Place Cape Elizabeth, ME 04107",U30,257500,420800,5753,4354
"1 Young Lane Cape Elizabeth, ME 04107",R04,359000,790000,8020,8415
"2 Abaco Drive Cape Elizabeth, ME 04107",U33,541300,1165500,12093,12546
"2 Abbey Lane Cape Elizabeth, ME 04107",U27,387700,926900,8661,10196
"2 Albion Road Cape Elizabeth, ME 04107",U25,320400,662400,7158,7011
"2 Algonquin Road Cape Elizabeth, ME 04107",U12,519000,990200,11594,10551
"2 Ann Arbor Drive Cape Elizabeth, ME 04107",U32,732100,1115600,16355,12272
"2 Autumn Tides Lane Cape Elizabeth, ME 04107",R05,890700,1488100,19898,16094
"2 Avon Road Cape Elizabeth, ME 04107",U12,457800,844100,10227,9010
"2 Baker Road Cape Elizabeth, ME 04107",U03,337300,852700,7535,9380
"2 Balsam Road Cape Elizabeth, ME 04107",U15,822000,1271000,18363,13981
"2 Bayberry Lane Cape Elizabeth, ME 04107",U19,272500,588900,6088,6478
"2 Beach Rose Lane Cape Elizabeth, ME 04107",U17,274100,748800,6123,7962
"2 Beacon Lane Cape Elizabeth, ME 04107",U15,1461500,2468000,32650,27148
"2 Berman Road Cape Elizabeth, ME 04107",U19,284900,614200,6365,6481
"2 Beverly Terrace Cape Elizabeth, ME 04107",U28,240200,572800,5366,6301
"2 Birch Knolls Cape Elizabeth, ME 04107",U05,399000,1079100,8914,11595
"2 Blueberry Road Cape Elizabeth, ME 04107",U34,353000,768800,7886,8129
"2 Bowery Beach Road Cape Elizabeth, ME 04107",U16,227900,607000,5091,6677
"2 Brentwood Road Cape Elizabeth, ME 04107",U35,267900,566000,5985,6226
"2 Brownstone Lane Cape Elizabeth, ME 04107",U33,363800,687800,8127,7291
"2 Canter Lane Cape Elizabeth, ME 04107",U23,919400,1884200,20539,20726
"2 Canterbury Way Cape Elizabeth, ME 04107",U29,389300,791300,8697,8429
"2 Cape Woods Drive Cape Elizabeth, ME 04107",U33,256300,633900,5726,6973
"2 Cardinal Lane Cape Elizabeth, ME 04107",R05,694400,1709700,15513,18807
"2 Chambers Road Cape Elizabeth, ME 04107",U24,223200,592200,4986,6514
"2 Channel View Road Cape Elizabeth, ME 04107",U38,839300,2047000,18750,22242
"2 Charles Road Cape Elizabeth, ME 04107",U01,221900,752200,4957,7933
"2 Cherry Circle Cape Elizabeth, ME 04107",U35,287700,567500,6427,5968
"2 Clinton Road Cape Elizabeth, ME 04107",U24,317300,713800,7088,7577
"2 Cloutier Lane Cape Elizabeth, ME 04107",U27,283700,1441700,6338,15584
"2 Cottage Lane Cape Elizabeth, ME 04107",U05,455500,1193200,10176,13125
"2 Cove View Road Cape Elizabeth, ME 04107",U56,588200,1333900,13140,14398
"2 Cragmoor Cape Elizabeth, ME 04107",U02,878600,2165400,19628,23544
"2 Crescent Road Cape Elizabeth, ME 04107",U02,767700,1781500,17150,19597
"2 Davcarley Road Cape Elizabeth, ME 04107",U25,220200,537300,4919,5635
"2 Davis Point Lane Cape Elizabeth, ME 04107",U18,810900,1744300,18116,19187
"2 Dean Way Cape Elizabeth, ME 04107",U18,241100,662300,5386,7010
"2 Dearborn Drive Cape Elizabeth, ME 04107",U22,317700,579500,7097,6375
"2 Dermot Drive Cape Elizabeth, ME 04107",U29,479400,971900,10710,10416
"2 Dipper Road Cape Elizabeth, ME 04107",R04,309200,777700,6908,8555
"2 Elizabeth Road Cape Elizabeth, ME 04107",U03,441400,951000,9861,10186
"2 Elmwood Road Cape Elizabeth, ME 04107",U03,244600,792100,5464,8438
"2 Emerald Way Cape Elizabeth, ME 04107",U31,403700,988400,9019,10872
"2 Erie Road Cape Elizabeth, ME 04107",U28,226700,547900,5064,5752
"2 Evergreen Circle Cape Elizabeth, ME 04107",U35,304100,604400,6794,6373
"2 Farm Hill Road Cape Elizabeth, ME 04107",U21,182500,468300,4077,5151
"2 Fenway Road Cape Elizabeth, ME 04107",U44,248600,596000,5554,6281
"2 Fernwood Lane Cape Elizabeth, ME 04107",U34,380700,775100,8505,8251
"2 Fox Hill Road Cape Elizabeth, ME 04107",U24,603500,840700,13482,8973
"2 Franklin Circle Cape Elizabeth, ME 04107",U49,456700,862200,10203,9484
"2 Garden Circle Cape Elizabeth, ME 04107",U05,1092700,2782700,24411,30335
"2 Gladys Road Cape Elizabeth, ME 04107",U19,196500,511100,4390,5281
"2 Glen Avenue Cape Elizabeth, ME 04107",U02,247300,743800,5525,8182
"2 Glos Way Cape Elizabeth, ME 04107",U49,843000,1508400,18832,15910
"2 Golden Ridge Lane Cape Elizabeth, ME 04107",U17,1178400,2458000,26326,26488
"2 Gordons Lane Cape Elizabeth, ME 04107",U50,986800,2124600,22046,22820
"2 Granite Ridge Road Cape Elizabeth, ME 04107",U50,1257400,2379800,28090,26178
"2 Great Pond Drive Cape Elizabeth, ME 04107",R06,329400,707200,7358,7230
"2 Greenview Drive Cape Elizabeth, ME 04107",R05,920600,1788400,20566,19122
"2 Grouse Run Drive Cape Elizabeth, ME 04107",R04,1184800,2327800,26468,25056
"2 Grover Road Cape Elizabeth, ME 04107",U20,440200,1013600,9834,11150
"2 Hampton Road Cape Elizabeth, ME 04107",U19,476600,1268200,10648,13950
"2 Harrison Avenue Cape Elizabeth, ME 04107",U29,191400,518100,4276,5409
"2 Harvest Lane Cape Elizabeth, ME 04107",R04,488700,983500,10918,10544
"2 Headland Lane Cape Elizabeth, ME 04107",U49,335600,703000,7497,7458
"2 Heatherstone Lane Cape Elizabeth, ME 04107",U04,1630500,2367400,36425,25766
"2 Hemlock Hill Road Cape Elizabeth, ME 04107",U33,325300,617200,7267,6789
"2 Heritage Court Cape Elizabeth, ME 04107",U56,578100,1427100,12915,15423
"2 Hermit Thrush Road Cape Elizabeth, ME 04107",U04,221600,697400,4951,7396
"2 High View Road Cape Elizabeth, ME 04107",U42,304400,655600,6800,7212
"2 Hockey Pond Road Cape Elizabeth, ME 04107",R05,231700,634900,5176,6709
"2 Hunts Point Road Cape Elizabeth, ME 04107",U38,1675400,3165700,37428,34823
"2 Ivie Road Cape Elizabeth, ME 04107",U04,390500,917400,8724,9816
"2 Jewett Road Cape Elizabeth, ME 04107",U19,197300,484800,4408,5058
"2 Julie Ann Lane Cape Elizabeth, ME 04107",U11,583200,1219400,13029,13413
"2 Katahdin Road Cape Elizabeth, ME 04107",U12,362000,828400,8087,8837
"2 Kenyon Lane Cape Elizabeth, ME 04107",U05,687000,1603100,15348,17293
"2 Keyes Lane Cape Elizabeth, ME 04107",U05,742700,1697100,16592,18668
"2 Legacy Way Cape Elizabeth, ME 04107",U20,437300,971400,9769,10410
"2 Leighton Farm Road Cape Elizabeth, ME 04107",R05,446900,812600,9984,8664
"2 Lighthouse Point Road Cape Elizabeth, ME 04107",U15,702900,1228800,15703,13242
"2 Lindenwood Road Cape Elizabeth, ME 04107",U04,490300,1189200,10953,12806
"2 Linwood Street Cape Elizabeth, ME 04107",U34,195400,509000,4365,5324
"2 Locksley Road Cape Elizabeth, ME 04107",U06,356500,880700,7964,9688
"2 Lydon Lane Cape Elizabeth, ME 04107",U33,335500,606600,7495,6398
"2 Manor Way Cape Elizabeth, ME 04107",U30,651200,1171700,14548,12614
"2 Masefield Terrace Cape Elizabeth, ME 04107",U38,581400,1273200,12988,14005
"2 Maxwell Woods Drive Cape Elizabeth, ME 04107",U29,363500,817600,8121,8994
"2 Mcauley Road Cape Elizabeth, ME 04107",U49,253600,573400,5665,6307
"2 Mckenney Point Road Cape Elizabeth, ME 04107",U41,711100,1515500,15886,16396
"2 Meadow Way Cape Elizabeth, ME 04107",U21,181600,477500,4057,4978
"2 Meadowview Lane Cape Elizabeth, ME 04107",U31,352500,760000,7875,8085
"2 Misty Lane Cape Elizabeth, ME 04107",U36,362700,1065400,8103,11444
"2 Montgomery Terrace Cape Elizabeth, ME 04107",U02,532100,1114600,11887,12261
"2 Moonshadow Lane Cape Elizabeth, ME 04107",U33,306300,554200,6843,5821
"2 Oak Knoll Road Cape Elizabeth, ME 04107",U13,1115100,2292900,24911,25222
"2 Oakview Drive Cape Elizabeth, ME 04107",U25,159400,333300,3561,3666
"2 Oakwood Road Cape Elizabeth, ME 04107",U24,181100,473900,4046,4938
"2 Ocean Avenue Cape Elizabeth, ME 04107",U17,323100,849500,7218,9070
"2 Old Ocean House Road Cape Elizabeth, ME 04107",R02,1447200,2394600,32330,25914
"2 Olde Colony Lane Cape Elizabeth, ME 04107",U09,570300,876700,12741,9369
"2 Olde Fort Road Cape Elizabeth, ME 04107",U06,243000,715200,5429,7592
"2 Orchard Road Cape Elizabeth, ME 04107",U21,172300,454600,3849,4726
"2 Park Circle Cape Elizabeth, ME 04107",U54,763100,1626600,17048,17618
"2 Patricia Drive Cape Elizabeth, ME 04107",U35,277600,561300,6202,6174
"2 Peppergrass Road Cape Elizabeth, ME 04107",U60,832900,1506500,18607,16297
"2 Pheasant Hill Road Cape Elizabeth, ME 04107",R04,309200,659200,6908,6976
"2 Philip Road Cape Elizabeth, ME 04107",U22,247200,462400,5522,5086
"2 Phoebes Way Cape Elizabeth, ME 04107",R04,281100,757900,6280,8062
"2 Pine Point Road Cape Elizabeth, ME 04107",U35,249800,521800,5581,5465
"2 Pine Ridge Road Cape Elizabeth, ME 04107",U36,487900,1099800,10900,11823
"2 Pleasant Avenue Cape Elizabeth, ME 04107",U27,233700,541600,5221,5683
"2 Pleasant Valley Ave Cape Elizabeth, ME 04107",U24,271300,690800,6061,7324
"2 Pond View Road Cape Elizabeth, ME 04107",U18,230900,576700,5158,6344
"2 Purpoodock Drive Cape Elizabeth, ME 04107",U27,307000,628600,6858,6915
"2 Rand Road Cape Elizabeth, ME 04107",U22,251800,577600,5625,6354
"2 Roberts Lane Cape Elizabeth, ME 04107",U08,412100,1262200,9206,13609
"2 Robinhood Road Cape Elizabeth, ME 04107",U06,555000,917000,12399,10087
"2 Rock Crest Drive Cape Elizabeth, ME 04107",U50,591600,1364800,13216,14738
"2 Rock Wall Lane Cape Elizabeth, ME 04107",U04,273200,801300,6103,8539
"2 Rocky Hill Road Cape Elizabeth, ME 04107",U04,480800,1024000,10741,10989
"2 Rocky Knoll Road Cape Elizabeth, ME 04107",U04,402800,1003100,8999,10759
"2 Rocky Point Lane Cape Elizabeth, ME 04107",U14,536500,1224300,11985,13467
"2 Rosewood Drive Cape Elizabeth, ME 04107",U34,535800,836000,11970,8723
"2 Roundabout Lane Cape Elizabeth, ME 04107",U36,415100,967900,9273,10647
"2 Rugosa Way Cape Elizabeth, ME 04107",U38,852900,2172900,19054,23627
"2 Salt Spray Lane Cape Elizabeth, ME 04107",U36,1149500,2701100,25680,29712
"2 Scamman Circle Cape Elizabeth, ME 04107",U36,1695400,3403700,37875,37441
"2 Scott Dyer Road Cape Elizabeth, ME 04107",U21,257000,637400,5741,7011
"2 Sea Barn Road Cape Elizabeth, ME 04107",U08,514800,1348800,11501,14562
"2 Sea View Avenue Cape Elizabeth, ME 04107",U02,288800,843000,6452,8998
"2 Seal Cove Lane Cape Elizabeth, ME 04107",U17,524700,908800,11722,9997
"2 Shaw Farm Road Cape Elizabeth, ME 04107",U34,443700,652300,9912,6900
"2 Spoondrift Lane Cape Elizabeth, ME 04107",U36,350800,1022900,7837,10977
"2 Star Road Cape Elizabeth, ME 04107",U22,251200,629700,5612,6652
"2 Starboard Drive Cape Elizabeth, ME 04107",U45,623600,1029700,13931,11327
"2 State Avenue Cape Elizabeth, ME 04107",U28,130600,467100,2918,4863
"2 Stephenson Street Cape Elizabeth, ME 04107",U29,178200,502400,3981,5526
"2 Stirrup Road Cape Elizabeth, ME 04107",U24,485600,737400,10848,8111
"2 Stonybrook Road Cape Elizabeth, ME 04107",U03,456900,1006800,10207,10800
"2 Strout Road Cape Elizabeth, ME 04107",R05,239100,553900,5341,6093
"2 Summit Road Cape Elizabeth, ME 04107",U03,504400,1462800,11268,16091
"2 Sunny Bank Road Cape Elizabeth, ME 04107",U41,1621700,2946500,36229,32137
"2 Surf Side Avenue Cape Elizabeth, ME 04107",U12,685400,1915700,15312,21073
"2 Sweet Fern Road Cape Elizabeth, ME 04107",U19,213600,525100,4772,5435
"2 Tall Pine Road Cape Elizabeth, ME 04107",U23,455900,710600,10185,7542
"2 Tanager Lane Cape Elizabeth, ME 04107",R04,275800,681900,6161,7226
"2 Tides Edge Road Cape Elizabeth, ME 04107",U08,711200,1456200,15888,16018
"2 Tiger Lily Lane Cape Elizabeth, ME 04107",U59,625600,1379900,13976,15179
"2 Todd Road Cape Elizabeth, ME 04107",U11,564200,1047800,12604,11251
"2 Tucker Lane Cape Elizabeth, ME 04107",R03,386000,896300,8623,9584
"2 Two Lights Terrace Cape Elizabeth, ME 04107",U15,264300,575800,5904,6334
"2 Vernon Road Cape Elizabeth, ME 04107",U19,194700,525500,4350,5506
"2 Wabun Road Cape Elizabeth, ME 04107",U12,285200,722400,6371,7671
"2 Wainwright Drive Cape Elizabeth, ME 04107",U52,372000,1129700,8310,12152
"2 Waterhouse Road Cape Elizabeth, ME 04107",U29,210300,541800,4698,5613
"2 Waverly Road Cape Elizabeth, ME 04107",U04,331400,778200,7403,8219
"2 Webster Farm Road Cape Elizabeth, ME 04107",R02,710300,1527300,15868,16800
"2 Wedgewood Road Cape Elizabeth, ME 04107",U32,245200,516300,5478,5679
"2 Wheeler Road Cape Elizabeth, ME 04107",U16,204300,757400,4564,8056
"2 Wildwood Drive Cape Elizabeth, ME 04107",U24,233000,522300,5205,5745
"2 Windward Way Cape Elizabeth, ME 04107",U05,2515000,4381000,56185,48191
"2 Winslow Place Cape Elizabeth, ME 04107",U30,216200,357600,4830,3934
"2 Woodcrest Road Cape Elizabeth, ME 04107",U04,335100,802000,7486,8547
"3 Albion Road Cape Elizabeth, ME 04107",U25,364600,706900,8145,7402
"3 Apple Tree Lane Cape Elizabeth, ME 04107",U58,750500,1570700,16766,17003
"3 Arlington Lane Cape Elizabeth, ME 04107",U23,658800,1370300,14718,14798
"3 Autumn Tides Lane Cape Elizabeth, ME 04107",R05,672800,1147800,15030,12235
"3 Avon Road Cape Elizabeth, ME 04107",U12,289500,772100,6467,8493
"3 Bacchus Place Cape Elizabeth, ME 04107",R09,5494600,9530200,122748,104282
"3 Baker Road Cape Elizabeth, ME 04107",U03,457700,910100,10225,9736
"3 Bayberry Lane Cape Elizabeth, ME 04107",U19,221400,531600,4946,5573
"3 Bigelow Way Cape Elizabeth, ME 04107",U12,532300,937400,11892,10311
"3 Birch Knolls Cape Elizabeth, ME 04107",U05,543000,1061700,12131,11679
"3 Blueberry Road Cape Elizabeth, ME 04107",U34,264000,402700,5898,4155
"3 Bradford Road Cape Elizabeth, ME 04107",U29,212900,541400,4756,5955
"3 Bridlepath Way Cape Elizabeth, ME 04107",U06,349500,889100,7808,9780
"3 Canter Lane Cape Elizabeth, ME 04107",U23,2443300,5777300,54583,63550
"3 Canterbury Way Cape Elizabeth, ME 04107",U29,394400,804700,8811,8577
"3 Cape Woods Drive Cape Elizabeth, ME 04107",U33,254100,615000,5677,6765
"3 Carriage Hill Road Cape Elizabeth, ME 04107",U42,273900,654800,6119,7203
"3 Caydens Way Cape Elizabeth, ME 04107",U28,489200,1196000,10929,13156
"3 Cedar Ledge Road Cape Elizabeth, ME 04107",U04,326600,856300,7296,9144
"3 Chambers Road Cape Elizabeth, ME 04107",U24,219100,550900,4895,5719
"3 Channel View Road Cape Elizabeth, ME 04107",U38,372600,909400,8324,9728
"3 Charles Road Cape Elizabeth, ME 04107",U01,217200,748700,4852,8236
"3 Chesterwood Road Cape Elizabeth, ME 04107",U59,536100,995400,11976,10674
"3 Cheverus Road Cape Elizabeth, ME 04107",U33,283600,716000,6336,7876
"3 Clinton Road Cape Elizabeth, ME 04107",U24,206800,517800,4620,5421
"3 Cragmoor Cape Elizabeth, ME 04107",U02,1311000,2539500,29288,27858
"3 Crescent Road Cape Elizabeth, ME 04107",U02,335000,1000300,7484,10728
"3 Davis Point Lane Cape Elizabeth, ME 04107",U18,231500,755100,5172,8306
"3 Dean Way Cape Elizabeth, ME 04107",U18,224000,606300,5004,6328
"3 Deer Run Road Cape Elizabeth, ME 04107",R05,313100,692400,6995,7275
"3 Dermot Drive Cape Elizabeth, ME 04107",U29,489000,852600,10924,9379
"3 Dipper Road Cape Elizabeth, ME 04107",R04,277000,765700,6188,8148
"3 Dyer Pond Road Cape Elizabeth, ME 04107",U51,746400,1355000,16675,14630
"3 Erie Road Cape Elizabeth, ME 04107",U28,269400,592000,6018,6512
"3 Farm Hill Road Cape Elizabeth, ME 04107",U21,149400,449200,3338,4600
"3 Fenway Road Cape Elizabeth, ME 04107",U44,205600,510700,4593,5343
"3 Fernwood Lane Cape Elizabeth, ME 04107",U34,396900,798300,8867,8506
"3 Fox Hill Road Cape Elizabeth, ME 04107",U24,600200,857900,13408,9162
"3 Franklin Circle Cape Elizabeth, ME 04107",U49,421800,901200,9423,9574
"3 Friar Lane Cape Elizabeth, ME 04107",U06,575700,1023600,12861,10985
"3 Garden Circle Cape Elizabeth, ME 04107",U05,574000,1861900,12823,20481
"3 Gladys Road Cape Elizabeth, ME 04107",U19,408400,1066000,9124,11314
"3 Glenden Road Cape Elizabeth, ME 04107",U04,798400,1854400,17836,19848
"3 Glos Way Cape Elizabeth, ME 04107",U49,868000,1435600,19392,15792
"3 Golden Ridge Lane Cape Elizabeth, ME 04107",U17,871800,1975600,19476,21732
"3 Gordons Lane Cape Elizabeth, ME 04107",U50,799800,2031600,17868,21798
"3 Granite Ridge Road Cape Elizabeth, ME 04107",U50,1288000,2253000,28774,24784
"3 Graystone Road Cape Elizabeth, ME 04107",U50,1117200,2330000,24958,25080
"3 Great Pond Drive Cape Elizabeth, ME 04107",R06,354400,707200,7918,7780
"3 Hampton Road Cape Elizabeth, ME 04107",U19,501000,1122600,11192,12348
"3 Harriman Farm Road Cape Elizabeth, ME 04107",U31,561600,1077200,12546,11629
